noise,n,reps,chosen_true_rate,chosen_true_wilson_lo,chosen_true_wilson_hi,unique_rate,unique_wilson_lo,unique_wilson_hi,mean_full_error,mean_full_error_boot_lo,mean_full_error_boot_hi
0.0,32,120,0.0,0.0,0.031019166418703486,0.30833333333333335,0.23272736988916298,0.39582997723800684,0.03919270833333333,0.03763020833333333,0.040755208333333334
0.0,64,120,0.03333333333333333,0.0130375510983506,0.082580337559106,0.10833333333333334,0.06441141154173441,0.17655360215291668,0.029427083333333333,0.027083333333333334,0.03177083333333333
0.0,128,120,0.35833333333333334,0.2781607905032006,0.4472946399820988,0.24166666666666667,0.1738584121753525,0.325501490474311,0.013671875,0.011588541666666667,0.015755208333333333
0.0,256,120,0.8833333333333333,0.8136664838239611,0.9292188219216995,0.8083333333333333,0.7287884399579756,0.8687497407504907,0.0018229166666666667,0.0009114583333333333,0.002734375
0.0,512,120,0.9916666666666667,0.9543037087549505,0.998527444266658,0.9916666666666667,0.9543037087549505,0.998527444266658,0.00013020833333333333,0.0,0.000390625
0.02,32,120,0.0,0.0,0.031019166418703486,0.2,0.13824476478840256,0.2803667350628196,0.0390625,0.0375,0.04049479166666667
0.02,64,120,0.025,0.008538174769902228,0.0709300333278661,0.15,0.09703812292584739,0.22467529356724508,0.029557291666666666,0.027473958333333333,0.03157714843749998
0.02,128,120,0.24166666666666667,0.1738584121753525,0.325501490474311,0.25,0.18109821656809566,0.33441136664125615,0.01796875,0.015755208333333333,0.020182291666666668
0.02,256,120,0.75,0.665588633358744,0.8189017834319043,0.7166666666666667,0.6302979754694596,0.7895937190824355,0.004557291666666667,0.003125,0.006119791666666667
0.02,512,120,0.9916666666666667,0.9543037087549505,0.998527444266658,0.9833333333333333,0.941264037027841,0.9954174354340789,0.00013020833333333333,0.0,0.000390625
0.05,32,120,0.0,0.0,0.031019166418703486,0.275,0.20302896661264852,0.3609296582757681,0.03717447916666667,0.0353515625,0.03899739583333333
0.05,64,120,0.025,0.008538174769902228,0.0709300333278661,0.16666666666666666,0.11055996367984616,0.24345281393262286,0.031184895833333334,0.029036458333333334,0.033203125
0.05,128,120,0.25,0.18109821656809566,0.33441136664125615,0.24166666666666667,0.1738584121753525,0.325501490474311,0.018815104166666666,0.01633951822916667,0.0212890625
0.05,256,120,0.575,0.4855775172299302,0.6597696078072643,0.6916666666666667,0.6041700227619933,0.767272630110837,0.006966145833333334,0.00546875,0.008658854166666667
0.05,512,120,0.925,0.8635908239400624,0.9600428846040397,0.9666666666666667,0.917419662440894,0.9869624489016494,0.0011067708333333333,0.0004557291666666667,0.0018229166666666667
