rho,mean_optimal_cost,mean_misspecified_cost,mean_regret,max_regret,mean_max_posterior_spread,max_posterior_spread,root_action_disagreement_rate
0.0,0.1306272255999925,0.1306272255999925,0.0,0.0,7.840950111415169e-17,1.1102230246251565e-16,0.0
0.2,0.1483863822336187,0.15073649909761616,0.0023501168639974814,0.006472704000001911,0.3223346646090051,0.36674816625916873,0.0
0.4,0.1625735324159981,0.16744495226879147,0.004871419852793385,0.014571519999989652,0.4739158598905814,0.5289450484866294,0.0
0.6,0.16471574399998454,0.18097524613117116,0.016259502131186616,0.02998271999996749,0.563949490350836,0.6204044117647058,0.0
0.8,0.1647157440000159,0.19155004170241763,0.026834297702401737,0.03845888000002859,0.6240144135067844,0.6791171477079796,0.0
0.95,0.16471574399997713,0.19767553714555247,0.032959793145575345,0.04026487999994399,0.6574850881644256,0.7109891480603716,0.0
