noise,n,reps,unique_optimum_rate,true_in_optimum_rate,chosen_true_rate,median_optima,p90_optima,mean_selected_edits,exact_error,exact_fa,exact_fb,greedy_error,global_error,mean_objective_gap
0.0,32,120,0.30833333333333335,0.05,0.0,3.0,9.0,0.49166666666666664,0.03919270833333333,0.010451977401129943,0.37833333333333335,0.03919270833333333,0.04765625,1.0
0.0,64,120,0.10833333333333334,0.3,0.03333333333333333,3.0,12.0,1.1166666666666667,0.029427083333333333,0.006779661016949153,0.2966666666666667,0.029427083333333333,0.04791666666666667,1.0
0.0,128,120,0.24166666666666667,0.6666666666666666,0.35833333333333334,2.0,6.0,2.125,0.013671875,0.0025423728813559325,0.14500000000000002,0.013671875,0.046875,1.0
0.0,256,120,0.8083333333333333,0.975,0.8833333333333333,1.0,2.0,2.8833333333333333,0.0018229166666666667,0.0002824858757062147,0.020000000000000004,0.0018229166666666667,0.046875,1.0
0.0,512,120,0.9916666666666667,1.0,0.9916666666666667,1.0,1.0,2.9916666666666667,0.00013020833333333333,0.0,0.0016666666666666668,0.00013020833333333333,0.046875,1.0
0.02,32,120,0.2,0.058333333333333334,0.0,3.0,12.0,0.5333333333333333,0.0390625,0.0096045197740113,0.3866666666666667,0.0390625,0.04791666666666667,1.0
0.02,64,120,0.15,0.24166666666666667,0.025,4.0,12.0,1.15,0.029557291666666666,0.005861581920903955,0.3091666666666667,0.029427083333333333,0.04765625,1.0
0.02,128,120,0.25,0.525,0.24166666666666667,2.0,8.0,1.9416666666666667,0.01796875,0.0025423728813559325,0.2,0.017838541666666666,0.04739583333333333,1.0
0.02,256,120,0.7166666666666667,0.8666666666666667,0.75,1.0,2.0,2.7583333333333333,0.004557291666666667,0.00035310734463276836,0.05416666666666667,0.004166666666666667,0.046875,1.0
0.02,512,120,0.9833333333333333,0.9916666666666667,0.9916666666666667,1.0,1.0,3.0,0.00013020833333333333,0.0,0.0016666666666666668,0.00013020833333333333,0.046875,1.0
0.05,32,120,0.275,0.058333333333333334,0.0,3.0,9.300000000000026,0.6666666666666666,0.03717447916666667,0.00826271186440678,0.37833333333333335,0.03717447916666667,0.048177083333333336,1.0
0.05,64,120,0.16666666666666666,0.18333333333333332,0.025,4.0,12.0,1.1,0.031184895833333334,0.007203389830508475,0.3141666666666667,0.0310546875,0.048177083333333336,1.0
0.05,128,120,0.24166666666666667,0.49166666666666664,0.25,2.0,6.0,1.9833333333333334,0.018815104166666666,0.0028954802259887006,0.20666666666666667,0.018294270833333334,0.046875,1.0
0.05,256,120,0.6916666666666667,0.7583333333333333,0.575,1.0,2.0,2.675,0.006966145833333334,0.001059322033898305,0.07666666666666667,0.006184895833333333,0.046875,1.0
0.05,512,120,0.9666666666666667,0.9416666666666667,0.925,1.0,1.0,2.9583333333333335,0.0011067708333333333,0.0,0.014166666666666668,0.0011067708333333333,0.046875,1.0
