delta,mean_optimal_cost,mean_misspecified_cost,mean_regret,max_regret,mean_max_posterior_spread,max_posterior_spread,root_action_disagreement_rate
0.0,0.13062722560001566,0.13062722560001566,0.0,0.0,5.662137425588298e-16,8.881784197001252e-16,0.0
0.02,0.14939581063168456,0.14939581063168456,0.0,0.0,0.3542672549456056,0.3713661322796233,0.0
0.05,0.17741588684800463,0.17741588684800463,0.0,0.0,0.5717527909378154,0.5843609207592702,0.0
0.1,0.22363228467198287,0.22373721907198366,0.00010493440000077237,0.0005246720000038618,0.7162069584157809,0.7222528927387645,0.0
0.2,0.2903532679679963,0.31479296204800156,0.024439694080005226,0.04981347520002055,0.8008795971007363,0.8024103899870095,0.4
0.3,0.31920000000000004,0.4034245857280109,0.08422458572801089,0.1389183231999941,0.8058039103874635,0.8061571780488342,0.8
